"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Samoa Americana","ASM","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","100","82","136","113","202","193","183","148","153","112","112","152","118","181","78","123","102","42","45","55","35","127","171","220","443","605","549","846","3667","6939","5089","4041","4019","5349","6519","4424","4944","5122.78","3587.12","4371.96","2841.43","2426.77","4357.95","2252.27","2317.88","2028.42","1434.78","871.17","1195.02","1311.13","",
"Antigua y Barbuda","ATG","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","600","800","800","800","700","800","800","800","800","800","900","900","1200","1500","1590","1601","1613","1821","1620","1219","1171","1157","950","1063","1465","2407","2400","1985","1488","990","875","1481","1692","1046","1095","1576","1434","1639","1675","1626","1723","1797","2343","2541","2473","2948","3044","3042","3389","2416","2219","3055","5951","4605","3114","3165","3165","3165","3165","3165","3115","3205","3230","",
"Australia","AUS","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","55645","55278","61336","67099","67532","77276","88908","92457","102837","91079","97197","106169","116297","119490","133002","104200","104577","136571","130603","137912","136873","153148","171926","169101","177014","162845","183734","212829","219446","197279","234541","244070","250134","248620","220397","227721","220000","220461","228009.44","239333","206380","205227","207516","224550.23","243559.05","250986.28","212900","189661.31","182817.7","178111.49","180130.4","176324.68","166872.31","159328.39","150778.51","151858.15","172583.51","164651.95","171113.12","166127.6","176495.69","160776.53","165059.23","",
"Austria","AUT","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","3550","3540","3830","4000","4220","4370","4150","3410","3260","2700","2330","1940","1520","900","850","840","970","870","800","700","1100","1200","1400","1100","700","700","640","600","600","550","533","500","479","420","388","404","450","465","451","432","439","362","350","372","400","370","360","350","350","350","350","350","300","350","350","350","350","350","350","350","350","350","350","",
"Azerbaiyán","AZE","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30339","21733","18901","10545","6702","5161","4760","20866","18797","10893","11188","6435","9258","9001","4061","2949","1524","1206","1131","1061","911","857","929","626.2","735","965","1614","1177","2089","1464","1790","",
"Burundi","BDI","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","9200","5300","7200","10600","9700","20200","16600","12300","15000","15600","13300","16900","7500","8500","10982","14547","20333","18900","15682","11250","14767","11880","12131","11366","11361","11369","11840","12009","11677","10762","17395","20994","24073","17000","22000","21101","3041","20296","13426","9199","17315","8964","11000","14697","13855","13400","12978","11309","18265","12615","17305","10654","12309","13232","16054","20120","21805","18999","20310","20372","19589","19550","19935","",
"Bélgica","BEL","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","63700","61600","59900","62000","59500","59700","62800","63800","68200","58700","53000","60200","59000","53300","46820","49027","44496","45360","50577","47125","45615","49279","47841","48580","47871","45115","39466","40231","41541","39633","41460","39891","37120","36089","34254","35599","30823","30500","30835","29876","29800","30209","29028","26831","26735","24567","23019","24541","22609","21722","22418","22477","24659","25662","26793","24721","26970","24649","23005","21350","19953.8","17937","18710","",
"Benin","BEN","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","26000","28000","30000","25000","26000","20000","18800","35600","35900","36600","43110","43404","43202","40673","39402","37533","37104","36528","35879","35700","37832","37768","37521","34628","35275","36360","38738","41889","37266","41860","38234","35083","32488","39221","39923","44379","42175","43785","42139","40437","32324","38415","40663","41648","39988","31497","41507","36386","37495","38928","39791","38848","40364","42416","47583","36477","49806","48203","54959","73484.9","73965","74615","76105","",
"Burkina Faso","BFA","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","2000","2500","2500","3000","3500","3500","4000","4500","4500","4500","5000","5000","4000","5000","5000","5000","6000","6000","7000","7000","6500","7500","7000","7100","7300","7400","7600","7800","7900","8000","7000","7000","7500","7000","8000","8000","8000","8000","8335","7600","8500","8500","8500","9000","9000","9000","9500","10200","11093","11800","14520","16060","20300","20500","20700","20750","21770","25208","27299","27803","29104","29731","30044","",
"Bangladesh","BGD","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","351333","400071","448776","447448","496086","543000","543253","541781","592000","588723","625384","672020","749592","749675","751112","566730","564542","566539","564135","559768","555940","554476","587868","619587","633171","642270","648468","639185","654668","656439","653552","689727","709332","764824","770790","792389","814787","829426","839141","959215","1004264","1068417","1103855","1141241","1187274","1333866","1436496","1494199","1557754","1821579","1726586","1600918","1535715","1550446","1592174","1623837","1674770","1801084","1871225","1895619","1919505","1982483.04","2027661","",
"Bulgaria","BGR","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","7800","7200","8600","6700","9600","16083","22975","38081","55584","78673","88601","95404","106417","97110","112759","151933","160894","129863","91261","76065","113687","93953","100982","108207","100996","89663","97314","99005","105877","91351","49254","50056","24016","13658","6585","8012","8854","11237","18946","10556","8663","8674","15008","12035","8252","5434","7544","8903","8864","8978","10769","9623.26","9581.1","9669.93","8687.39","8828.73","8614.22","8559.04","8598.91","10329.65","6295.8","9009.27","5594.38","",
"Bahrein","BHR","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","1500","1500","1500","1800","1800","2000","2500","2800","3000","3300","3500","3600","3700","3800","3900","4000","4084","4837","4000","3801","5115","5747","5594","4812","5599","7763","8057","7842","6736","9207","8105","7553","7983","8958","7628","9389","12940","10050","9849","10620","11718","11230","11204","13638","14489","11855","15593","15013","14176","16356","13490","9915","27091","19274","18384","16500.05","17300","18499.95","21071.05","18279.97","17202","17000.02","19836.55","",
"Bahamas","BHS","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","1600","1500","1600","1700","1900","2950","3800","2950","2750","2350","2750","2950","3300","4400","4663","4693","4750","5327","5114","5765","7119","7631.79","7737.04","8548.15","8430.07","11164.82","8653.9","10520.03","10464.66","9788.61","9709.18","11889.54","12205.54","13695.94","14927.02","13245.48","14099.15","14719.59","14577.69","13667","15527","13671","15675","16724","15164","15555","16242","10912","14813","13809.83","16342.44","15313","16756.83","12765","11878.22","11307.29","11625","11479.94","10998.69","10145.91","7433.16","8704.85","9345.22","",
"Bosnia y Herzegovina","BIH","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","201","201","201","201","252","253","254","255","255","255","255","255","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","",
"Belarús","BLR","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1507","2993","787","715","821","499","457","980","553","944","1020","803","583","594","645","689","809","826","897","1122","965","697","766","869","688.3","773.3","800.4","662","939.05","611.23","356","",
"Belice","BLZ","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","900","600","800","900","900","800","900","1300","1300","1600","1500","1800","1900","1600","1618","1603","1613","3082","2808","2554","2066","2252","2288","2641","2672","2427","1838","2059","2151","1770","2033","2521","2414","3971","7670","9719","12168","24788","26600","51827","30322","30746","84360","43358","70046","100507","185773","305645","364274","304217","399928","277494.29","171943.25","34703.6","76201.19","97524.25","91424.52","121359.06","216956.04","213986.32","186909.89","191504.13","204764.24","",
"Bermudas","BMU","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","500","500","400","400","450","450","500","500","550","550","900","2380","2820","3220","3599","4572","7208","7635","8723","6347","4105","2024","2348","927","538","670","820","821","773","774","463","428","432","404","394","449","465","461","466","453","290","309","397","363","386","401","381","425","401","416","375","478","516","461","417","407","410","380","354","374","358.48","419","392","",
"Bolivia","BOL","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","700","500","1300","1400","1900","1800","1700","1500","1300","1200","1100","1300","1500","1500","1050","1050","1250","1550","1550","3650","4379","5617","4105","4105","4105","4170","3871","4226","4332","5676","6909","5167","4905","5518","5353","5692","5988","6038","6055","6052","6106","5940","6300","6599","6436","6360","6080","5770","6750","7568","6946","6677","6820","7171","6990","7000","7000","7000","7400","7900","7500","7600","","",
"Brasil","BRA","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","251000","275100","379400","335588","368976","388912","393162","419796","495176","492293","573021","613442","620117","759919","715030","752504","659808","730936","753523","781886","804869","805771","824298","872106","949869","956684","946560","934852","814543","780468","619805","648120","640513","646051","670336","606708","615482","644585","606789","603941","666846","730378","755582","712144","746217","750261","779113","783177","791892","825412","785369","760696","818590.47","770017.55","773293.4","709154.17","726606.95","732531","725398.37","734278.78","730845.93","768912.55","758512","",
"Barbados","BRB","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","5213","4613","4713","2813","2113","2613","4813","4613","3213","3013","2313","2313","2313","2613","2668","4223","4952","3188","3597","4267","3747","3423","3492","6534","5784","3832","4112","3610","8939","2585","3029","2292","3585","3225","2829","3592","3523","2820","3655","3281","3185","2731","2530","2849","2159","2193","1986","2235","3562","3507","3280","1817.89","1360.63","2975.86","2206.32","1498.95","1735.48","1739.54","1731.96","874.74","1033.75","846.57","851.54","",
"Brunei Darussalam","BRN","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","800","900","900","1000","1000","1100","1200","1200","1300","1300","1500","1500","1500","1500","1560","1570","1644","2193","2704","2792","2225","2367","2357","3055","3425","3967","4106","3914","2040","2316","2348","1651","1692","1728","4445","4719","5729","4521","5049","3186","2487","1597","2058","1789","1923","2709","2279","2550","2357","1958","2351","2154","4523","2826","3186","3370","13292","11864","13566","13690.39","13091.04","15295","16060","",
"Bhután","BTN","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","100","100","100","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","145","140","135","130","125","120","115","110","105","100","95","90","85","80","75","70","65","60","55","50","45","40","35","30","25","20","15","10","8","6","4","2","3","5","7","12","16","0","0.5","0.5","1.1","9","",
"Botswana","BWA","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","400","400","500","500","500","500","600","600","800","800","800","1100","1200","1200","1200","1200","1600","1500","1000","1000","1250","1450","1400","1250","1500","1500","1700","1900","1900","1600","1300","1000","800","600","400","200","81","160","191","157","166","118","139","122","161","132","81","122","86","73","60","234","378","431","1168","81","38","38","38","38","33","38","38","",
"República Centroafricana","CAF","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","2000","2000","2000","2500","2500","3000","4000","5000","5000","6000","7000","8000","8000","10000","11883","8044","10465","13000","13000","13000","13000","13000","13000","13000","13000","13000","13000","13000","13000","13000","13000","13500","13000","13250","13500","13750","14000","14250","14500","15000","15000","17000","19000","21000","23000","25000","27000","29000","31000","33000","35000","35000","32000","30000","29000","28000","29000","29000","29000","29000","27500","28000","29000","",
"Canadá","CAN","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","928067","1033880","1120287","1209942","1210086","1239471","1355424","1293080","1492496","1401459","1392498","1313756","1170094","1163762","1041273","1027771","1130492","1267970","1404112","1446984","1373359","1444327","1427021","1371030","1304529","1473990","1531719","1615083","1704410","1649945","1685532","1500398","1330490","1162259","1057094","880353","925943","1001276","1031373","1047330","1032686","1076924","1105841","1153788","1213644","1145594","1122606","1044982","967874","993173","975764","939688.33","834404.23","893000.03","884382.5","871148.2","886758.97","854100.16","854090.69","853387.66","765345.97","754137.17","704176.83","",
"Europa Central y del Báltico","CEB","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","212911","215222","208566","254087","290531","335091","378231","405932","486458","511712","598688","659705","699310","743935","882672","1051521","997135","905055","773807","821169","894563","868837","905346","1057714","1011402","961696","966362","993652","971165","823310","606564","582601","1090077.08","870383.27","811942.01","857425.05","742932","675836.49","597272.08","599622.19","598502.24","659039.12","651892.54","588828.04","626027.12","606182.09","594423.3","663771.08","663200.79","740362.76","679202.3","670760.93","517482.47","593863.49","639018.78","549309.69","620456.34","573273.07","559386.95","568371.72","533718.35","519238.19","506571.1","",
"Suiza","CHE","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","2500","2800","2800","3300","2800","2700","3000","3000","3500","3500","2400","2800","3595","3590","3785","3875","3875","3922","3730","3760","3330","3476","3149","3290","3841","4294","4386","4271","3973","3303","3158","3599","2715","1822","1481","1588","1841","1859","1809","1840","1659","1715","1544","1815","1602","1738","1690","1653","2084","2184","2101","2098","2003","2007","1983","2023","1851","1932","1553","1382.34","1485.93","1485.93","1485.93","",
"Islas del Canal","CHI","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","800","1000","1000","1000","1000","1200","1200","1200","1200","1200","1300","1300","1300","1700","1625","1449","1368","2004","2688","2704","2906","2800","2241","3477","3669","3024","2318","2365","2743","2910","3005","2805","2835","2854","2783","2949","4346","4238","4117","3601","3589","3927","3449","3526","3201","3505","3468","3566","3228","2649","3373","2976","2955","2848","2983","2574","2985","2731","3203","3050","2073.35","2187.51","2290","",
"Chile","CHL","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","346742","440825","643607","773791","1176009","729157","1404630","1085551","1392101","1109892","1230285","1516150","820722","694100","1171526","970010","1436121","1378152","1988066","2695507","2890766","3500584","3841473","4165533","4665417","4979368","5685596","4917724","5343634","6581130","5353591","6060785","6511083","6056674","7837699","7684457","6909631","5990596","3463177","5281822","4547594","4031799","4515437","3921103","5317385","4738165","4461856","4132854","3939379","3821818","3048316","3466956","3007536.31","2288875.04","2592748","2131693","1826602.41","2335016.12","2371682.23","2380299.99","2183235.13","2391196.59","2690091.49","",
"China","CHN","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","2215094","2395838","2539279","2491069","2466117","2530460","2504425","2509289","2625692","2553251","2490020","2703602","3008671","3099216","3384961","3496766","3597449","3623109","3451288","3071706","3146970","3140232","3508610","3670055","3940713","4210121","4810254","5407952","5812730","6224910","6714530","7452199","8422552","9475687","11017836","12712706","14333737","14719861","15472568","15208077","14823866","14403875","14426596","14598934","14786243","14850730","14995706","14987636","15157263","15062980","15054057","15263615.15","15446318.15","15633567.44","16363366.41","16647934.68","16019261.57","15576685.3","14831109.11","14169893.46","13445983.02","13142836.98","13179077.02","",
"Côte d'Ivoire","CIV","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","40500","42100","43600","45600","54600","59500","60800","66100","68400","67400","64302","77530","75199","60763","66690","58590","75917","67054","65012","73621","70068","75586","73753","79858","73680","101867","103435","101453","89336","99003","95000","82855","87039","69823","73978","70189","72711","67167","72528","78273","80323","76005","69870","68903","54401","42665","54830","47300","43799","42893","48038","52468","52513.2","61346.01","74806.81","98559.95","104552.32","95248.74","109087.03","109994.87","74589.14","104272.91","99943.34","",
