"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Islas Caimán","CYM","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","1391","3992","933","655","423","396","478","1097","386","615","837","586","825","445","125","125","110","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","",
"Chipre","CYP","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","500","400","600","600","600","1006","1009","1014","1412","1409","1363","1255","1340","1459","1180","919","1052","1189","1245","1283","1308","1426","1545","1938.77","2206","2382","2541.39","2543","2505","2542","2584","2921","9336","10016","9427","9320","12526","24819","19304","39638","68345","54723","141079","47740","78724","61313","29940","2446","1996","1409","1395","1188","1323","1182.99","1268","1488","1494","1756","1490.01","1559.21","1327.27","1401.33","1301.02","",
"República Checa","CZE","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3185","3955","3929","3524","3321","3952","4190","4654","4646","4983","5127","4528","4242","4646","4276","4164","4112","3990","3859","4033","3761","3812","3841","3507","3557","3650","3721","3729","3314","3381","",
"Alemania","DEU","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","768100","732000","769900","824900","836200","850200","861700","930900","964500","950900","916021","825676","736404","821784","861817","788675","700436","619318","589193","565071","523777","549483","499021","473786","455971","365323","345153","332893","321107","346038","326304","235901","216890","253010","230161","239889","236411","259352","266087","237854","204084","209142","221772","257647","258343","281368","293037","290511","274281","244047","243146","233883","214408","235107","242743","261744","271185","248237","279213","224394.8","212094.57","187652.27","179721","",
"Djibouti","DJI","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","900","800","900","1000","300","300","300","300","300","300","300","300","100","200","380","300","230","230","230","231","251","385","426","409","409","380","409","426","454","399","360","252","275","300","320","350","400","500","600","700","800","900","1000","1100","1200","1571","1299","1229","1206","1058","1590","1667","2167","1702","2298","2012","2220","2022","2102","2270.14","2322.5","3088.9","3120.5","",
"Dominica","DMA","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","500","500","600","600","600","500","500","500","600","600","500","600","700","800","900","1001","1024","1047","1070","642","1445","1514","1545","800","700","640","644","500","500","500","458","552","711","794","882","950","1030","1079","1212","1200","1200","1200","1198","950","700","579","694","677","699","772","700","662","625","527","1029","990","809","784","762","860.4","527","287.97","290","",
"Dinamarca","DNK","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","568602","629954","777402","840080","862798","830021","840667","1059777","1454630","1264254","1217228","1388991","1429006","1430485","1823180","1751851","1905048","1792979","1734709","1724138","2013518","1838243","1909718","1845546","1827875","1772745","1825356","1681965","1945755","1896235","1475700","1751146","1953827","1614289","1873316","1999033","1681518","1826852","1557335","1405000","1534089","1510694","1442348","1031221","1090596","910598","867721","653053","690584","777752","828089","716387","502790","668480","745343","868986","670223","904489","789182","638418","732900.39","466408.13","458193","",
"República Dominicana","DOM","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","1300","1600","1700","3200","4200","4100","3500","3200","4600","4800","5200","4600","5600","9200","6810","5906","7053","4594","5086","7885","10658","12003","13169","12849","13875","17009.9","16988.1","20129","12663","21663","19495","16839","12846","12857","22832","17874","12894","14535","10171","8418","11015","13217","17261","18097","14223","11193","12956","13709","15382","14233","14490","14005","13662.83","13188.58","13783.56","11894.89","14640.68","15724.54","13920.42","16066.01","14064.13","17666.88","18010","",
"Argelia","DZA","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","25500","30400","21500","16900","17300","18300","20350","21150","18250","23150","24234","23715","28313","31243","35758","37693","35122","43475","34143","38678","48000","56000","64500","65000","65500.9","66000.6","65261.8","94093.8","106437.3","99187.42","90196.24","79702","95273.91","101899.97","135409.86","105878.67","81995.8","91585.4","92337","102399","113159.9","133628","134324.8","140959","113464.2","126260.3","145763.8","147363.13","138862.43","127777","93464","101814.86","105543.4","100973.14","97683.17","95798.9","100004.86","103875.32","115057.99","100553.1","71518.72","79200","80790","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","4850516","5316768","5653517","5857487","6112428","6425662","6757463","7038291","7589424","7757265","7796849","8368112","9061305","9371148","9492445","9679352","10048650","10813651","11055351","10605778","10563686","11175126","11853829","12367320.99","12519780.14","13006932.1","14227785.59","15490689.69","15637767.65","16437078.58","16958050.33","17993598.94","19511443.68","20908572.5","22889051.1","24929468.16","26483082.35","27230766.92","28236714.75","28574474.47","28767907.83","28690748.25","29104467.97","29913546.58","30680084.33","30915182.53","31361653.85","31601030.35","31195715.41","31334021.02","31716912.65","32195422.21","32717775.01","33356069.78","34623893.96","35014208.22","34621702.72","34680326.45","34251645.26","33599052.78","32505788.77","31798725.27","31803370.62","",
"inicial del dividendo demográfico","EAR","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","8267945.01","10175200","12038496","12352549","15172411","13900925","15627895.01","17479143","18567472","17201036","20435724","18752481","13030107","11414710","13617993","12876431","13781653","12505351.99","14125192.01","14729294.01","14084464","14440978.58","15289942.64","13466194.33","15904051.45","17514868.7","19382881.22","19038039.61","21490233.44","21735538.31","21648914.65","22136440.76","23667521.99","26104300.97","29544412.84","27457864.61","28327388.06","27254381.88","23370039.37","28193237","30977922.13","29271084.75","30271327.65","28112921.83","31806564.7","32063038.32","30556757.94","31105575.16","31490839.44","31047157.75","29131702.77","32666007.38","30169484.49","30979484.04","29837081.2","31228558.34","30636434.22","32072861.27","35300264.54","32862225.85","32456722.42","33934248.54","32462115.96","",
"Asia oriental y el Pacífico","EAS","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","11501285","12566164","13093306","13136281","13158241","14077100","14709764","15820273","17239100","17468769","18154673","19468021","20800488","21695176","22024095","22163167","22840414","23686264","23996546","23392594","23760463","24871669.43","25582040.92","26611907.85","27717532.28","27646082.65","29880405.87","30879937.5","31112261.55","31403966.47","31174926.02","30766216.8","31849951.78","32677211.91","33924263.52","35437765.08","36845590.71","37665060.11","37887205.48","38121043.11","37837468.1","37519878.85","37352598.37","38472596.19","38685316.26","39019767.22","39426677.71","39963643.84","39444262.76","39012685.66","39306795.59","39536228.23","39850405.94","40415523.27","41951355.43","41913177.68","40805352.77","40810721.24","40576213.52","39788779.57","38539612.35","37833899.4","36116269.65","",
"Europa y Asia central (excluido altos ingresos)","ECA","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","98200","91600","71500","140000","133600","154483","143811","230994","194852","254903","270442","263814","289374","251481","249952","282072","321931","302664","344199","434487","549203","573054","613260","674157","674747.09","677936.12","686927.13","734469.4","786608.8","551195.7","438512.7","410017","6556210.2","5359159","4678776","5431848.3","5700927.7","5581823.8","5500974.5","5236107.9","5009715","4543702.2","4150493.8","4125107.6","3811963.51","3988978","4134551.1","4451876.4","4263564","4647933.2","4909623.6","5067080.21","5028378.33","5055827.5","4830713.88","5150341.23","5339970.47","5571125.58","5824748.67","5908649.77","5848447.65","5893831.92","5683752.98","",
"Europa y Asia central","ECS","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","7822578","8227795","8341651","8759214.1","9516754.1","10733043.4","11420465.8","11999989","11796369","11254031","11926735","12067648","12211701","12491207","12634036","12416208","13398952","13309489","12592808.1","12511545.7","12689844.9","12782404.65","12335901.1","12821978.62","13192412.66","12939623.45","12729283.13","12784969.56","13105849.56","12350456.6","11073009.87","11027932.85","19015619.48","17579893.27","16962312.61","18376668.35","18542587.3","18931558.69","18107692.48","17277761.59","17361656.39","17053660.42","16529752.84","15662973.94","15105452.83","14884063.59","14567656.06","14645534.29","14183991.2","14396046.82","14922515.81","14446680.89","14083351.67","14522261.96","14702094.93","15232332.74","14724643.85","15983876.12","16115022.55","15211217.62","15042973.28","14820676.46","14301021.21","",
"Ecuador","ECU","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","44300","38600","42500","49700","46300","53500","48200","57500","68900","64890","90970","102530","106840","151565","175470","214198","280638","421954","610399","600266","629977","526740","585911","336156","849180","1056800","959932","610035","800393","611582","288913","330525","226817","286633","330248","508572","702974","536887","322348","503032","596489","587770","319169","399526","356774","464387","469060","408926","505571","498679","399874","508793","501881","509031","656448","632571","709181","623124","597754","608160.22","636338.68","863105.6","688326.27","",
"Egipto, República Árabe de","EGY","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","83900","86800","112800","109000","128000","96200","93100","74700","74900","74100","70758","77268","71209","78514","89344","97574","91764","91541","84915","120481","121397","120715.58","131732.64","132306.39","136839.54","174109.77","183653.98","184712.89","232128.79","233105.8","251036","284431","282401.8","302830.7","311601.6","335301.5","340435.4","371333.2","406205","422666","384315","428634","425163","431124","393495","349554","375895","372492","373816","387399","385210","375355","354237.7","356858.09","344792.08","344113","335614.33","370959.67","373286","397043.34","418684","425770","440197","",
"Zona del Euro","EMU","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","3518587","3646538","3631936","3819608.1","4048204.1","4225091.4","4277556.8","4505673","4649384","4443630","4474947","4349672","4295475","4482674","4473543","4305408","4172042","3854528","3842488.1","3630522.7","3774260.9","3962553.65","4049768.1","4007215.62","4105346.57","4106895.33","4143919","4133269.16","4167618.76","4084211.9","3831734.17","3688759.85","4243634.28","4295879.27","4184433.61","4380103.05","4223645.6","4165842.89","4217530.98","4103501.69","3974354.39","4125666.22","3869529.04","3859826.34","3822954.32","3845662.59","3874805.96","3715254.89","3585702.95","3507336.21","3625623.14","3481404.21","3214458.5","3354596.61","3591888.21","3406950.76","3428104.8","3519168.55","3425251.47","3161303.65","2853266.29","2876194.44","2848956.1","",
"Eritrea","ERI","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","475","2706","3559","3252","1038","1852.9","6997.05","12712","8880","7852","6689","7404","4027","8813","2232","1965","3330","3586","2939","3924.35","3616.68","3695.73","6230.8","3306.13","3929.59","5648.24","5440.4","3740","1489.16","1590.54","",
"España","ESP","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","907101","970920","993406","993455.1","1068109.1","1188455.4","1204233.8","1308394","1454802","1386100","1426066","1374338","1405539","1431154","1429814","1436129","1418459","1337716","1313419.4","1153271","1170003.5","1181503.5","1239595","1178905.5","1194425.5","1222906.8","1233945.6","1269198.6","1327483","1308066.7","1131229.2","1078644.3","1091922.4","1099902.6","1108820.3","1195723.1","1189563","1220295.2","1256867.3","1191034.6","1062915","1090277.3","883101.5","888546.4","810898.8","853942.1","959684.36","818025.86","918313.56","927955.35","970774.04","1006430.3","926228.77","985028.91","1059920.77","972366.29","911501.79","948066.09","930720.91","882909.5","798280.42","803120.75","809094.41","",
"Estonia","EST","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128996","147185","124091","132576","108720","126057","121594","113112","113347","105492","102365","80208","88625","99581","86884","99444","102580","98504","95731","81580","66613","69454","68883","73195","75656","82820","87051","86755","74142.44","72235.55","73938.75","",
"Etiopía","ETH","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","8300","8600","9100","9600","12000","15900","16200","16200","14600","14400","17200","19100","14800","4700","5900","3930","2970","2472","2515","2800","3507","3828","3750","3900","4300","4000","4100","4000","4066","4236","4945","4226","4585","4175","5285","6325","8770","10370","14000","15858","15681","15390","12300","9213","10005","9450","9890","13254","16770","17047","18058","24041","28721","38371","50119","50489","50421.24","56001.1","63720.77","59000.89","60002","73140","101400","",
"Unión Europea","EUU","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","4549642","4760127","4911804","5255575.1","5578831.1","5760259.4","5816244.8","6312550","6908932","6488954","6576532","6627754","6641896","6877278","7384543","7315642","7279035","6734878","6535941.1","6373310.7","6915035.9","6924351.65","7116674.1","7168965.62","7215976.57","7077973.33","7146600","7016010.16","7327214.76","7053539.9","6164980.17","6259523.85","7090236.28","6686019.27","6923693.61","7281611.05","6657097.6","6729400.89","6466986.98","6125584.69","6092449.39","6200808.22","5864002.04","5391909.34","5400705.32","5191204.59","5183652.96","4784766.89","4675950.95","4735872.21","4879132.14","4601204.47","4091533.6","4451318.54","4736613.6","4721230.49","4551848.02","4911529.59","4687476.38","4225315.7","3995680.56","3734627.79","3657528.95","",
"Frágiles y situaciones de conflicto afectados","FCS","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","885835","887874","931502","942027","998768","1048225","1088644","1103392","1201891","1256472","1316950","1421637","1444345","1524147","1472810","1499712","1582551","1571427","1657827","1722914","1777270","1736321","1691511","1729385.24","1837407.92","1873518.71","2006386.32","2024067.78","2041510.97","2149435.69","2214122.36","2173537.77","2708634.72","2577151.72","2625540.61","3047939.07","2886829.5","3069069.92","3350020.04","3318818.52","3528836.72","3724116.74","3916643.46","4119113.28","4504650.55","4585896.13","4568172.86","4633539.83","4627894.71","4777475.02","4823085.14","4878523.55","5057430.31","5191933.31","5297979.86","5246359.6","5561299.66","5860310.86","5788053.41","5787992.78","5615069.75","5377248.44","5089272.91","",
"Finlandia","FIN","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","65500","67000","64900","80500","62900","73200","70800","73700","92200","86500","80700","90200","87600","98800","109978","109536","116959","115331","135711","130397","159979","149396","157618","167447","169308","169022","156424","153500","159264","146558","132985","119320","151753","156297","164269","167485","179079","180100","171689","160568","156428","149977","142302","121874","135422","131733","149446","164677","148666","154626","156097","153702","162321","167787","182956","182865","192881","190625","175200.39","163917.29","148569","133282","122684","",
"Fiji","FJI","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","3000","3000","3000","3200","3400","3500","3500","3500","3800","3800","3900","3900","4700","4700","4800","5036","5589","7935","9250","20243","20404","23608","24931","24227","25633","26113","26440.4","27774.5","29120","29475.3","33175.77","29518.38","25188.2","28814","30116","30307","26622","29721","30667.61","39206","42366","45106","40320","37237.8","49632.66","47390","48733","47247","46595","46387","41943","46907","46851","42639","43312","41266","44826","47500","42729.41","41698.87","37597.12","33009.48","32626.2","",
"Francia","FRA","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","651576","674920","654311","689299","709330","745249","799698","810052","829986","750969","752458","761294","725937","764694","747194","714393","713101","656550","696895.3","649366.3","652110.9","673271.88","668074.64","687885.47","677794.54","695266.4","716684.58","694891.48","741153.08","719597.4","699221.8","657306.5","668299.5","680185.5","703920.6","688459.3","643217.9","642478.5","610416.5","657039.8","694452.6","671905.7","701925","709038.7","664898.2","598482.8","595153.9","553685.7","500162.8","440199.3","452243.5","502006.02","473308.8","540519.91","548074.9","541788.04","558484.89","554362.3","578656.4","524109.56","478461.6","510779.44","534875.51","",
"Islas Feroe","FRO","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","109375","120220","144252","137830","138990","144686","166294","173324","166187","176296","207772","207274","208152","246261","246635","285618","341962","310490","316675","266745","275064","243343","250518","329955","346839","372338","349675","386519","360683","302839","273020","228316","248430","246294","237708","287796","304587","329145","364497","358362","454399","515909","525991","620991","599386","565260","623122","620834","518267","351018","393875","354956","360471","487140","542836","585564","568435","701892","660056","653119.3","650872.1","540602.9","605910.1","",
"Micronesia (Estados Federados de)","FSM","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","400","500","500","600","600","700","800","1000","1000","1000","1500","1500","1500","1500","1500","1500","1500","1503","1505","1505","1720","1720","1777","1777","1777","3564","3864","3766","2973","2266","2367","12552","16740","18168","22310","8082","8808","9781","15807","12589","23460","19471","22926","33753","31972","32361","15442","20873","25445","28606","31526","38142.06","48420.62","40972.1","52496","71567","88690","101417","137920.65","181769.51","193747.86","166333.97","","",
"Gabón","GAB","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","6000","6500","7000","7000","7000","8000","8000","8000","9000","9000","10000","10000","10000","12000","12000","14900","14820","14010","17800","21000","19800","20146","20605","19449","21000","20953","20223","22185","22091","20500","20000","22000","24000","31789","31015","40437","46113","44193","53754","51255","47826","42871","41570","45479","46072","43863","41521","37814","31326","29589","32692","36522","36500","36600","36855","33000","31000","29000","29000","29000","28880","29840","31010","",
"Reino Unido","GBR","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","1015166","953603","1003963","1007369","1034141","1114808","1137842","1101735","1115640","1162168","1172523","1203736","1169713","1212893","1172153","1064186","1125300","1079326","1114783","990248","892658","876998","903151","838959","827671","881311","836442","923910","911931","865632","771669","797221","818709","864998","883701","917363","876085","899036","923219","840719","754478","769481","728987","643819","654495","670334","624684","619692","595993","590853","612629","601079.96","631326.52","632342.04","755988.02","706148.04","697254.31","725343.14","699262.96","618928.18","626404.8","634418.61","","",
"Georgia","GEO","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38100","18240","7413","3560","2453","2583","3001","1413","1791","1636","1811","3306","11988","9974","14746","44068","48443","50026","46049","26547","12070","15520","19020","22520","44708.69","137423.38","203523.5","251755.45","207150","197575.05","197788.37","",
"Ghana","GHA","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","33800","36500","45700","59800","76600","76500","85696","98990","74080","130954","171517","232662","281189","221664","219146","261391","246601","271933","274631","236979","231566","240510","244163","251503","269563","276216","319818","381814","362050","361675","395872","362538","423425","372619","335437","352844","476744","447127","445541","496770","454346","450353","375182","393547","420443.4","381637.89","378642.99","331175.01","342518.14","304584","351458.65","349760.3","356346.57","289884.74","323425.15","344060.91","323916.57","367767.76","358743.37","317305.72","370686.15","392761.55","519627.27","",
"Gibraltar","GIB","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",
"Guinea","GIN","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","4000","4000","4000","4000","5000","5000","5000","6000","6000","6000","6000","8300","8300","9500","12100","13370","9920","9120","10000","18453","20000","22000","24000","26000","28000","30000","33000","35000","38000","41000","44000","49500","55000","60600","63800","67860","63360","62441","69764","87314","91513","105404","93754","121925","97730","109138","104718","82073","94513","127746","113504","184962","198282","230049","207348","184652","159402","321169","293007","359837","309570","325120","334870","",
"Gambia","GMB","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","4500","4800","5300","5300","5300","6200","6200","6200","6700","6700","7447","7739","7884","12294","12695","12695","12695","18092","14972","11143","13265","14739","9212","11653","11882","10712","13262","14642","13852","19789","21602","24985","18045","21308","22781","23699","31601","32743","29033","32639","29016","34527","37405","37366","32817","34955","37477","43574","42881","45884","46624","41500","36062","43726","51500","55968","58261","60461","49526","56198.66","50989.79","53171.97","53946.5","",
"Guinea-Bissau","GNB","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","700","700","600","600","800","900","700","700","1300","1400","1500","1400","1700","1700","1700","1669","3575","4275","4283","2936","4166","3643","3977","2671","2751","3743","3700","4100","4690","5400","5400","5000","5200","5350","6000","6328","7000","7200","6700","6200","6315","6848","7324","6153","6650","6983","7067","6500","6804","6721","6584","6549","8750","11750","15750","21150","28450","38350","52253.67","60150","62392.45","63221","63835","",
"Guinea Ecuatorial","GNQ","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","900","500","800","1000","1000","600","1200","1100","3700","3500","4000","4000","4000","4000","4000","4000","4000","4000","4000","4000","2500","2500","2019","2341","4000","3600","4400","4000","4000","4000","3700","3500","3600","3507","5069","2306","5040","6090","6005","7001","3634","3600","3550","3550","3500","3750","4000","4533","5400","7669","7376","7115","7834","6926.15","6067.92","6423.26","6455.29","6377","6407.61","6417.72","5958.28","6307.12","6610.15","",
"Grecia","GRC","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","87100","85100","80100","80100","83600","89700","91000","93200","99900","94200","85099","94164","92049","103346","92278","94936","105962","106867","100871","103282","105651","101460.18","104637.8","99847.4","105998.8","112584.9","122552","132002.4","119599.3","131797.5","132381","138644.9","152611.8","159100.5","181124.9","151716.5","151051.2","156978.1","110146.4","120591.75","99343.7","94196.4","96078.9","93781.4","93891.4","92430.5","98239.7","96095.8","85885.3","83181.8","70179.8","63246.49","61044.2","64169.77","61260.7","65371.82","75534.5","78315.3","77716.2","83173.7","71476.01","59631.87","65494.8","",
"Granada","GRD","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","300","500","900","700","1100","1300","1200","1300","1300","1400","1300","1500","1700","1700","1634","1700","1700","2958","2238","1491","1419","788","982","1479","1555","1727","2296","2214","2092","1782","1911","2071","2115","2212","1599","1499","1577","1530","1837","1828","1701","2250","2171","2544","2039","2048","2163","2207","2386","2648","2182","2411.47","2379.63","2856.67","2665","2472.5","2740.27","2444.15","2540.42","2048.89","1893.89","1211.58","1855.61","",
"Groenlandia","GRL","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","34786","41895","43308","33317","38248","40643","44529","44916","34265","39245","39461","38354","41792","44297","51260","47593","44644","59865","68233","83135","103738","107487","106206","99311","86274","94949","102906","100413","120337","168786","143331","114164","113267","116775","117417","128890","116018","113851","123291","160253","159711","158485","195624","175321","212988","234864","252959","233754","241899","214667","209446","214493","222894","275432","292441","268371","273175","310741","301052","265179","259209","271027","307055","",
"Guatemala","GTM","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","1000","1300","2100","2500","2700","2100","3000","2500","1900","3000","3400","3300","3100","3700","3881","4530","3653","3074","5504","4898","3507","4265","4284","2376","2963","2707","2119","2426","2805","3614","6894","6513","6578","7582","7211","8253","7653","6896","10847","21018","39203","29704","23427","23696","10012","18979","17569","17965","23291","20149","22332","19844.51","15291.25","17686.39","18075.6","15153.76","15981.69","15375.72","14075.13","15714.26","11489.61","11082.06","16256.64","",
"Guam","GUM","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","100","100","100","100","100","100","100","100","100","100","100","100","100","100","91","131","95","184","200","162","253","315","399","290","348","433","425","320","395","340","476","514","388","388","398","266","260","271","355","324","624","673","435","456","532","280","418","326","329","462","167.77","120.49","101.48","108.68","87.41","71.62","69.8","152.42","94.85","90.2","47.14","25.69","351.5","",
"Guyana","GUY","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","5700","7400","7900","9200","10400","12000","12300","13900","16000","16600","17400","15500","17600","19000","23617","20123","20956","31907","35978","35288","31530","32798","32794","35366","37239","37579","37330","36715","36480","35304","36872","40741","41252","44123","46367","47900","48583","53998","52840","53844","48887","53405","48017","59695","56719","53370","53763","47448","42168","43605","45188","43185","53844","49268","37746","36558","42142","42977","41388","39087","39986.9","34216.25","36253.45","",
"Ingreso alto","HIC","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","18517241","19873368","20549092","20714500.1","21527956.1","23073107.4","24702851.8","25516371","26824134","25900221","27719794","28958962","28790823","29665339","30469112","29978924","32117896","32214328","32624720.1","33184491.7","33934018.9","35120810.95","35197598.1","36708371.74","38992918.02","38831980.22","40403941.18","40343596","41153944.28","41158209.73","38092224.48","36862250.41","38579760.3","37489906.36","38574443.61","37974537.45","36793162.11","36652317.67","32368086.4","33545670.43","32570361.26","32322618.32","32102432.14","31027419.95","31711852.25","30791078.33","29918177.82","29375304.58","28285367.55","27306409.79","26815594.88","27065111.49","25950156.11","25627710.7","26494608.78","25947642.93","24135841.36","25871573.22","25891234.98","24882029","23922488.7","24039810.05","21979341.53","",
"Hong Kong, Región Administrativa Especial","HKG","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","49850","54200","58790","60300","62430","65581","63412","66960","110330","115320","133224","124787","131778","124496","138184","145947","151170","153638","156127","182549","186797","174598","171880","180742","192036","190295","204436","217666","227390","232985","224239","220288","220183","217545","211010","194999","183856","186000","180000","127780","157012","173972","169790","157444","167544","161964","154536","154147","158126","158965","168010","170720","155230","170129","160789","145193","142775","127554","124299","122929","119428","115178.98","77199.98","",
"Honduras","HND","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","1700","2550","2550","2550","3400","4050","2600","4000","5700","5450","5000","5700","5750","4450","3861","5005","4629","5924","6768","8803","6550","6295","7940","11331","9471","11185","22188","25974","20579","17463","16140","27377","23963","24820","14337","25741","21260","23780","15468","22569","17915","22292","15789","17343","17569","21139","22546","16636","14160","12408","12075","10214","11202","12809","9574","12841","13074","11652","12123","11947","15846","21680","20193","",
"Países pobres muy endeudados (PPME)","HPC","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","695317","722767","777967","828667","895417","957567","1020971","1084141","1135591","1244683","1328233","1425737","1526885","1554686","1571310","1617152","1577165","1672139","1681011","1619332","1590431","1602180","1610473","1700322.1","1782102","1766434","1932200","2065092.9","2026896.9","2091777.9","2187359","2135210","2342347","2277631","2174080","2321382","2517063.6","2560813","2497503.9","2675702.55","2753909","2775577.5","2686868.5","2986935.5","3214953.9","3223948.39","3034172.49","3137861.51","3222811.64","3379296","3530254.64","3756211.24","3870478.27","3897929.44","3963754.38","3971476.26","4337431.91","4940925.72","5126694.57","5112104.38","4952242.52","5268997.65","5162592.41","",
"Croacia","HRV","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26732.08","26630.27","17481.01","16268.05","18237","17041.49","21946.08","18909.19","21068.24","18551.12","21235.54","19957.04","30172.12","34693.09","37876.13","40225.63","49062.08","55788.5","52867.3","71396.06","64389.18","75832.34","80369.89","73985.57","73345.6","69975.36","70591.05","64620.4","71676.5","62449.34","63683.17","",
"Haití","HTI","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","3000","3000","3000","3100","3300","3400","3400","3500","3500","3500","4000","4000","4000","4000","4000","4000","4000","4150","4300","4500","5000","5500","6000","6502.1","6901","6400","6000","5767.9","5517.9","5517.9","5167","5216","5016","5615","5215","5514","6014","6313","6610","7010","7410","7810","8110","8310","9660","11010","12260","13510","14810","16010","13710","16530","16510","16510","16510","16510","16510","16510","16350","16350","16350","16220","16710","",
